fastq_list	sequencing_center	platform_name	run_date	sample	tag
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010877_normal.tsv	University of Chicago	Illumina	''	N010877	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010877_tumor.tsv	University of Chicago	Illumina	''	N010877	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010858_normal.tsv	University of Chicago	Illumina	''	N010858	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010858_tumor.tsv	University of Chicago	Illumina	''	N010858	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N009975_normal.tsv	University of Chicago	Illumina	''	N009975	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N009975_tumor.tsv	University of Chicago	Illumina	''	N009975	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010822_normal.tsv	University of Chicago	Illumina	''	N010822	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010822_tumor.tsv	University of Chicago	Illumina	''	N010822	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010829_normal.tsv	University of Chicago	Illumina	''	N010829	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010829_tumor.tsv	University of Chicago	Illumina	''	N010829	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N009932_normal.tsv	University of Chicago	Illumina	''	N009932	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N009932_tumor.tsv	University of Chicago	Illumina	''	N009932	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010867_normal.tsv	University of Chicago	Illumina	''	N010867	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010867_tumor.tsv	University of Chicago	Illumina	''	N010867	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010721_normal.tsv	University of Chicago	Illumina	''	N010721	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010721_tumor.tsv	University of Chicago	Illumina	''	N010721	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N009946_normal.tsv	University of Chicago	Illumina	''	N009946	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N009946_tumor.tsv	University of Chicago	Illumina	''	N009946	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010149_normal.tsv	University of Chicago	Illumina	''	N010149	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010149_tumor.tsv	University of Chicago	Illumina	''	N010149	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010628_normal.tsv	University of Chicago	Illumina	''	N010628	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010628_tumor.tsv	University of Chicago	Illumina	''	N010628	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010282_normal.tsv	University of Chicago	Illumina	''	N010282	normal
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010282_tumor.tsv	University of Chicago	Illumina	''	N010282	tumor
/cephfs/PROJECTS/annawoodard/alignment/wabcs/fastq_lists/N010106_normal.tsv	University of Chicago	Illumina	''	N010106	normal
